,0
4580,New Hope Christian Colleg
4581,New Valley Universit
4582,New Vision Universit
4583,New York Academy of Ar
4584,New York College of Podiatric Medicin
4585,New York Institute of Technolog
4586,New York Institute of Technology Abu Dhab
4587,New York Law Schoo
4588,New York School of Interior Desig
4589,New York Universit
4590,New York University Abu Dhab
4591,Newberry Colleg
4592,Newcastle Universit
4593,Newman Universit
4594,"Newman University, Birmingha"
4595,Newmaninstitute
4596,NewSchool of Architecture and Desig
4597,Newton Colleg
4598,Nezavisni univerzitet Banja Luk
4599,NFC Institute of Engineering and Technolog
4600,Nguyen Tat Thanh Universit
4601,Ngwane Colleg
4602,Nha Trang Universit
4603,NHL Stenden Hogeschoo
4604,Niagara Universit
4605,Nicholls State Universit
4606,Nichols Colleg
4607,Nicola Valley Institute of Technolog
4608,"Nigerian Maritime University, Okerenkok"
4609,Nihon Bunka Universit
4610,Nihon Fukushi Universit
4611,Nihon Institute of Medical Scienc
4612,Nihon Pharmaceutical Universit
4613,Nihon Universit
4614,Niigata College of Nursin
4615,Niigata Sangyo Universit
4616,Niigata Seiryo Universit
4617,Niigata Universit
4618,Niigata University of Health and Welfar
4619,Niigata University of Managemen
4620,Niigata University of Pharmacy and Applied Life Science
4621,Nikola Vaptsarov Naval Academ
4622,Nilamber-Pitamber Universit
4623,Nile Source Polytechnic of Applied Art
4624,Nile Universit
4625,Nile University of Nigeri
4626,NIMS Universit
4627,Ninevah Universit
4628,Ningbo University of Finance and Economic
4629,Ningbo University of Technolog
4630,Ningde Normal Universit
4631,Ningxia Institute of Science and Technolog
4632,Ningxia Normal Universit
4633,Ningxia Universit
4634,Nipissing Universit
4635,Nippon Bunri Universit
4636,Nippon Institute of Technolog
4637,Nippon Medical Schoo
4638,Nippon Sport Science Universit
4639,Nippon Veterinary and Life Science Universit
4640,Nishikyushu Universit
4641,Nishinippon Institute of Technolog
4642,NITTE Universit
4643,Nizam's Institute of Medical Science
4644,Nizhnevartovsk State Universit
4645,Nizhny Novgorod State Agricultural Academ
4646,Nizhny Novgorod State Pedagogical Universit
4647,Nizhyn Gogol State Universit
4648,Njala Universit
4649,Nkumba Universit
4650,Noida International Universit
4651,Noman Sadat Institute of Higher Educatio
4652,Noorin Institute of Higher Educatio
4653,Nordakademie Hochschule der Wirtschaf
4654,Norfolk State Universit
4655,Norges Handelshøyskol
4656,Norges idrettshøgskol
4657,Norges miljø- og biovitenskapelige universite
4658,Norges musikkhøgskol
4659,Norges teknisk-naturvitenskaplige universite
4660,North Asia Universit
4661,North Bangkok Universit
4662,North Carolina Agricultural and Technical State Universit
4663,North Carolina Central Universit
4664,North Carolina State Universit
4665,North Carolina Wesleyan Colleg
4666,North Caucasian Institute of Mining and Metallurg
4667,North Central Colleg
4668,North Central Universit
4669,North China Electric Power Universit
4670,North China Institute of Aerospace Engineerin
4671,North China Institute of Science and Technolog
4672,North China University of Science and Technolog
4673,North China University of Technolog
4674,North China University of Water Resources and Electric Powe
4675,North Dakota State Universit
4676,North East Frontier Technical Universit
4677,North Eastern Universit
4678,North Greenville Universit
4679,North Khorasan University of Medical Science
4680,North Orissa Universit
4681,North Park Universit
4682,North Sichuan Medical Colleg
4683,North South Universit
4684,North University of Chin
4685,Northeast Agricultural Universit
4686,Northeast Electric Power Universit
4687,Northeast Forestry Universit
4688,Northeast Normal Universit
4689,Northeast Ohio Medical Universit
4690,Northeast Petroleum Universit
4691,North-Eastern Federal Universit
4692,North-Eastern State Universit
4693,"Northeastern University, Chin"
4694,Northern Alberta Institute of Technolog
4695,Northern Arctic Federal Universit
4696,Northern Borders Universit
4697,Northern Caribbean Universit
4698,Northern Illinois Universit
4699,Northern Luzon Adventist Colleg
4700,Northern Michigan Universit
4701,Northern New Mexico Colleg
4702,Northern State Universit
4703,Northern Technical Universit
4704,Northland Colleg
4705,Northpoint Bible Colleg
4706,Northwest Florida State Colleg
4707,Northwest Nazarene Universit
4708,Northwest Normal Universit
4709,Northwest Samar State Universit
4710,Northwest Universit
4711,North-West Universit
4712,Northwest University for Nationalitie
4713,"Northwest University, Chin"
4714,Northwestern Colleg
4715,Northwestern Health Sciences Universit
4716,Northwestern Oklahoma State Universit
4717,Northwestern Polytechnical Universit
4718,Northwestern State University of Louisian
4719,Northwestern Universit
4720,Northwestern University in Qata
4721,Northwood Universit
4722,Norwich Universit
4723,Norwich University of the Art
4724,Notre Dame Colleg
4725,Notre Dame of Dadiangas Universit
4726,Notre Dame of Marbel Universit
4727,Notre Dame of Maryland Universit
4728,Notre Dame Seishin Universit
4729,Notre Dame Universit
4730,Notre Dame Universit
4731,Notre Dame University Banglades
4732,Nova Southeastern Universit
4733,Novosibirsk State Architectural Universit
4734,Novosibirsk State Medical Universit
4735,Novosibirsk State Pedagogical Universit
4736,Nsaka Universit
4737,NSCAD Universit
4738,Nueva Ecija University of Science and Technolog
4739,Nukus Davlat Pedagogika Institut
4740,Nur International Universit
4741,Nyack Colleg
4742,O.M. Beketov National University of Urban Economy in Kharki
4743,O.O. Bogomolets National Medical Universit
4744,O.P. Jindal Global Universit
4745,Oak Hills Christian Colleg
4746,OAK Universit
4747,Oakland Universit
4748,Oakwood Universit
4749,Obafemi Awolowo Universit
4750,Oberlin Colleg
4751,Obihiro University of Agriculture and Veterinary Medicin
4752,Obirin Daigak
4753,OCAD Universit
4754,Ocean University of Chin
4755,Ochanomizu Universit
4756,October 6 Universit
4757,Odessa National Academy of Food Technologie
4758,Odessa National Academy of Musi
4759,Odessa National Academy of Telecommunication
4760,Odessa National Economics Universit
4761,Odessa National Maritime Universit
4762,Odessa National Medical Universit
4763,Odessa National Polytechnic Universit
4764,Odessa National Universit
4765,Odessa State Academy of Civil Engineering and Architectur
4766,Odessa State Agrarian Universit
4767,Odise
4768,Odlar Yurdu Universitet
4769,Oduduwa Universit
4770,Oglethorpe Universit
4771,Oguz Han Engineering and Technology University of Turkmenista
4772,Ohio Christian Universit
4773,Ohio Northern Universit
4774,Ohio Universit
4775,Ohio University Souther
4776,Ohio University-Chillicoth
4777,Ohio Wesleyan Universit
4778,Ohkagakuen Universit
4779,Ohu Universit
4780,Oita University of Nursing and Health Science
4781,Okayama Prefectural Universit
4782,Okayama Shoka Universit
4783,Okayama Universit
4784,Okayama University of Scienc
4785,Okinawa Christian Universit
4786,Okinawa International Universit
4787,Okinawa Prefectural College of Nursin
4788,Okinawa Prefectural University of Art
4789,Oklahoma Baptist Universit
4790,Oklahoma Christian Universit
4791,Oklahoma City Universit
4792,Oklahoma Panhandle State Universit
4793,Oklahoma State Universit
4794,Oklahoma Wesleyan Universit
4795,Olabisi Onabanjo Universit
4796,Olivet Colleg
4797,Olivet Nazarene Universit
4798,Omar Al-Mukhtar Universit
4799,Omdurman Ahlia Universit
4800,Omdurman Islamic Universit
4801,Onbes Kasim Kibris Üniversites
4802,Ondokuz Mayis Üniversites
4803,Onomichi Universit
4804,OPJS Universit
4805,Oral Roberts Universit
4806,Ordos Institute of Technolog
4807,Örebro Universite
4808,Oregon Health &amp; Science Universit
4809,Oregon Institute of Technolog
4810,Oregon State Universit
4811,Oriental Institute of Technolog
4812,Oromia State Universit
4813,Orota School of Medicine and Dental Medicin
4814,Orta Dogu Teknik Üniversites
4815,Orta Dogu Teknik Universitesi Kuzey Kibris Kampus
4816,Oruj Institute of Higher Educatio
4817,Osaka Aoyama Universit
4818,Osaka City Universit
4819,Osaka Dental Universit
4820,Osaka Electro-Communication Universit
4821,Osaka Gakuin Universit
4822,Osaka Institute of Technolog
4823,Osaka International Universit
4824,Osaka Jogakuin Colleg
4825,Osaka Kawasaki Rehabilitation Universit
4826,Osaka Medical Colleg
4827,Osaka Ohtani Universit
4828,Osaka Prefecture Universit
4829,Osaka Sangyo Universit
4830,Osaka Seikei Universit
4831,Osaka University of Human Science
4832,Osaka University of Touris
4833,Osh Agrarian Institut
4834,Osh Humanitarian and Pedagogical Institut
4835,Osh State Law Institut
4836,Osh State Universit
4837,Osmaniye Korkut Ata Üniversites
4838,Ostbayerische Technische Hochschule Amberg-Weide
4839,Ostbayerische Technische Hochschule Regensbur
4840,Ostfalia Hochschule für angewandte Wissenschafte
4841,Ostravská univerzit
4842,Otani Universit
4843,Otaru University of Commerc
4844,Otemae Universit
4845,Otemon Gakuin Universit
4846,Otgontenger Universit
4847,Otsuma Women's Universit
4848,Ottawa Universit
4849,Otterbein Universit
4850,Otto-Friedrich-Universität Bamber
4851,Otto-von-Guericke-Universität Magdebur
4852,Ouachita Baptist Universit
4853,Oulun yliopist
4854,Our Lady of Fatima Universit
4855,Our Lady of the Lake Universit
4856,Oxford Brookes Universit
4857,Ozark Christian Colleg
4858,O'zbekiston Davlat Jahon Tillari Universitet
4859,O'zbekiston Davlat Konservatoriyas
4860,O'zbekiston Milliy Universitet
4861,O'zbekiston xalqaro islom akademiyas
4862,Özyegin Üniversites
4863,P.K. Universit
4864,Pace Universit
4865,Pacific Adventist Universit
4866,Pacific Lutheran Universit
4867,Pacific Northwest College of Ar
4868,Pacific Universit
4869,"Pacific University, Indi"
4870,Pädagogische Hochschule Freibur
4871,Pädagogische Hochschule Heidelber
4872,Pädagogische Hochschule Karlsruh
4873,Pädagogische Hochschule Kärnte
4874,Pädagogische Hochschule Niederösterreic
4875,Pädagogische Hochschule Oberösterreic
4876,Pädagogische Hochschule Salzbur
4877,Pädagogische Hochschule Schwäbisch Gmün
4878,Pädagogische Hochschule Steiermar
4879,Pädagogische Hochschule Tiro
4880,Pädagogische Hochschule Vorarlber
4881,Pädagogische Hochschule Weingarte
4882,Padmashree Dr. D.Y. Patil Vidyapit
4883,Paglory Universit
4884,Paine Colleg
4885,Pakistan Institute of Engineering and Applied Science
4886,Pakistan Institute of Fashion and Desig
4887,Pakokku Universit
4888,Paktia Universit
4889,Palawan State Universit
4890,Palestine Ahliya Universit
4891,Palestine College of Nursin
4892,Palestine Polytechnic Universit
4893,Palestine Technical Colleg
4894,Palestine Technical College Arrou
4895,Palm Beach Atlantic Universit
4896,Palucca Hochschule für Tanz Dresde
4897,Pamantasan ng Lungsod ng Maynil
4898,Pamir Institute of Higher Educatio
4899,PAMO University of Medical Science
4900,Pamukkale Üniversites
4901,Pandit Deendayal Petroleum Universit
4902,Pangasinan State Universit
4903,Panglong Universit
4904,Panha Chiet Universit
4905,Panjab Universit
4906,Pannon Egyete
4907,Panstwowa Uczelnia Stanislawa Staszica w Pil
4908,Panstwowa Uczelnia Zawodowa im. Ignacego Moscickiego w Ciechanowi
4909,Panstwowa Wyzsza Szkola Zawodowa w Chelmi
4910,Panstwowa Wyzsza Szkola Zawodowa w Walcz
4911,Panteion Universit
4912,Panzhihua Universit
4913,Papua New Guinea University of Technolog
4914,Paracelsus Medizinische Privatuniversitä
4915,Paragon International Universit
4916,Pardee RAND Graduate Schoo
4917,Park Universit
4918,Parker Universit
4919,Parwan Universit
4920,Pasig Catholic Colleg
4921,Pathein Universit
4922,Pathumthani Universit
4923,PATTS College of Aeronautic
4924,Paul Quinn Colleg
4925,Paul Smith's Colleg
4926,Paul Universit
4927,Payam Institute of Higher Educatio
4928,Payap Universit
4929,Pázmány Péter Katolikus Egyete
4930,PDM Universit
4931,"PDPM Indian Institute of Information Technology, Design and Manufacturin"
4932,Pécsi Tudományegyete
4933,Pedagogical Institute of Panjaken
4934,Pedagogical Institute of Vardeni
4935,Peirce Colleg
4936,Peking Universit
4937,Penn State College of Medicin
4938,Penn State Universit
4939,Pennsylvania Academy of the Fine Art
4940,Pennsylvania College of Art and Desig
4941,Pennsylvania College of Health Science
4942,Pennsylvania College of Technolog
4943,Pensacola State Colleg
4944,Pentecostal Life Universit
4945,Penza State Universit
4946,Penza State University of Architecture and Constructio
4947,Peoples' Friendship University n.a. AS. Batyro
4948,People's Public Security University of Chin
4949,Peoples University of Medical and Health Sciences for Wome
4950,Pereyaslav-Khmelnitsky State Pedagogical Universit
4951,Perez University Colleg
4952,Perm State Academy of Medicin
4953,Perm State Pedagogical Universit
4954,Peru State Colleg
4955,Petre Shotadze Tbilisi Medical Academ
4956,Petro Tchaikovsky National Music Academy of Ukrain
4957,Petroleum University of Technolog
4958,Petrozavodsk State Conservator
4959,Pfeiffer Universit
4960,Philadelphia Universit
4961,Philander Smith Colleg
4962,Philippine Christian Universit
4963,Philippine Normal Universit
4964,Philippine School of Business Administratio
4965,Philipps-Universität Marbur
4966,Philosophisch-Theologische Hochschule Münste
4967,Philosophisch-Theologische Hochschule Sankt George
4968,Philosophisch-Theologische Hochschule Vallenda
4969,Phuong Dong Universit
4970,Piedmont Colleg
4971,PIGIER Beni
4972,Pillar Colleg
4973,Pine Manor Colleg
4974,Pingdingshan Universit
4975,Pingxiang Universit
4976,Pioneer International Universit
4977,Pir Mehr Ali Shah Arid Agriculture Universit
4978,Piri Reis Üniversites
4979,Pittsburg State Universit
4980,Plato University of Management and Desig
4981,Plaza Colleg
4982,Plymouth College of Ar
4983,Plymouth State Universit
4984,PNG University of Natural Resources and Environmen
4985,Point Park Universit
4986,Point Universit
4987,Pokhara Universit
4988,Polessky State Universit
4989,Politechnika Bialostock
4990,Politechnika Czestochowsk
4991,Politechnika Gdansk
4992,Politechnika Koszalinsk
4993,Politechnika Krakowska im. Tadeusza Kosciuszk
4994,Politechnika Lódzk
4995,Politechnika Lubelsk
4996,Politechnika Swietokrzyska w Kielcac
4997,Politécnico Colombiano Jaime Isaza Cadavi
4998,Politecnico di Bar
4999,Politecnico di Milan
5000,Politecnico di Torin
5001,Politeknik Brune
5002,Polk State Colleg
5003,Polotsk State Universit
5004,Polsko-Japonska Akademia Technik Komputerowyc
5005,Poltava State Agrarian Academ
5006,Poltava V. G. Korolenko National Pedagogical Universit
5007,Polzunov Altai State Technical Universit
5008,Pomorski Uniwersytet Medyczny w Szczecini
5009,Ponce Health Sciences Universit
5010,Ponnaiyan Ramajayam Institute of Science and Technolog
5011,Pontifical Faculty of the Immaculate Conceptio
5012,Pontificia Facoltà di Scienze dell'Educazione Auxiliu
5013,Pontificia Universidad Católica Argentin
5014,Pontificia Universidad Católica de Chil
5015,Pontificia Universidad Catolica de Puerto Ric
5016,Pontificia Universidad Católica de Valparaís
5017,Pontificia Universidad Católica Madre y Maestr
5018,Pontifícia Universidade Católica de Campina
5019,Pontifícia Universidade Católica de Goiá
5020,Pontifícia Universidade Católica de Minas Gerai
5021,Pontifícia Universidade Católica de São Paul
5022,Pontifícia Universidade Católica do Paran
5023,Pontifícia Universidade Católica do Rio de Janeir
5024,Pontifícia Universidade Católica do Rio Grande do Su
5025,Pontificia Università Antonianu
5026,Pontificia Università Gregorian
5027,Pontificia Università Lateranens
5028,Pontificia Università San Tommaso d'Aquin
5029,Pontificia Università Urbanian
5030,Pontificio Istituto di Archeologia Cristian
5031,Poole Gakuin Universit
5032,Port City International Universit
5033,Port Said Universit
5034,Portland State Universit
5035,Post Graduate Institute of Medical Education and Researc
5036,Post Universit
5037,Potti Sreeramulu Telugu Universit
5038,Prairie View A&amp;M Universit
5039,Pratt Institut
5040,Pravara Institute of Medical Science
5041,Preah Sihanouk Raja Buddhist Universit
5042,Precarpathian National Universit
5043,Precious Cornerstone Universit
5044,Prefectural University of Hiroshim
5045,Presbyterian Colleg
5046,Presbyterian University and Theological Seminar
5047,Prescott Colleg
5048,Presentation Colleg
5049,Presidency Universit
5050,Presidency Universit
5051,"Presidency University, Banglades"
5052,President Ramon Magsaysay State Universit
5053,Prešovská univerzita v Prešov
5054,Preston Universit
5055,Prime Universit
5056,Primeasia Universit
5057,Prince Mohammad Bin Fahd Universit
5058,Prince Sattam Bin Abdulaziz Universit
5059,Princess Galyani Vadhana Institute of Musi
5060,Princess Nora bint Abdulrahman Universit
5061,Princess of Naradhiwas Universit
5062,Principia Colleg
5063,Private Hochschule für Wirtschaft und Techni
5064,Private Hochschule Göttinge
5065,Private Pädagogische Hochschule der Diözese Lin
5066,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Techni"
5067,Progress University of Gyumr
5068,Protestant Institute of Arts and Social Science
5069,Provadis Hochschul
5070,Providence Christian Colleg
5071,Providence Colleg
5072,Providence Universit
5073,Pryazovskyi State Technical Universit
5074,Prydniprovska State Academy of Civil Engineering and Architectur
5075,Pskov State Pedagogical Universit
5076,Pt. Bhagwat Dayal Sharma University of Health Science
5077,Puer Universit
5078,Punjab Technical Universit
5079,"Punyashlok Ahilyadevi Holkar University, Solapu"
5080,Purbanchal Universit
5081,"Purchase College, State University of New Yor"
5082,Purdue University Northwes
5083,Pushchino State Institute of Natural Scienc
5084,Pushkin State Russian Language Institut
5085,Putian Universit
5086,Pwani Universit
5087,Pyatigorsk State Pharmaceutical Academ
5088,Pyatigorsk State Universit
5089,Qalam Institute of Higher Educatio
5090,Qarshi Davlat Universitet
5091,Qarshi Muhandislik Iqtisodiyot Institut
5092,Qarshi Universit
5093,Qasyuon University for Science and Technolog
5094,Qazvin University of Medical Science
5095,Qerb Kaspi Universitet
5096,Qiannan Normal College for Nationalitie
5097,Qilu Institute of Technolog
5098,Qilu Medical Universit
5099,Qilu Normal Universit
5100,Qingdao Agricultural Universit
5101,Qingdao Binhai Universit
5102,Qingdao Hengxing University of Science and Technolog
5103,Qingdao Huanghai Universit
5104,Qingdao Universit
5105,Qingdao University of Science and Technolog
5106,Qingdao University of Technolog
5107,Qingdao University of Technolog
5108,Qinghai Normal Universit
5109,Qinghai University for Nationalitie
5110,Qiongtai Normal Universit
5111,Qiqihar Institute of Engineerin
5112,Qiqihar Medical Universit
5113,Qiqihar Universit
5114,Qoraqalpoq Davlat Universitet
5115,"Quaid-e-Awam University of Engineering, Science and Technolog"
5116,Quaid-i-Azam Universit
5117,Quantum Universit
5118,Quanzhou Normal Universit
5119,Quchan University of Advanced Technolog
5120,Quds Higher Education Institut
5121,Queen Arwa Universit
5122,Queen Mary University of Londo
5123,Queen's Universit
5124,Queen's University Belfas
5125,Queensland University of Technolog
5126,Quest International University Pera
5127,Qufu Normal Universit
5128,Quincy Universit
5129,Quinnipiac Universit
5130,Quirino State Universit
5131,Qujing Normal Universit
5132,Qurtaba Universit
5133,Quy Nhon Universit
5134,Quzhou Universit
5135,Rabindra Maitree Universit
5136,Rabindranath Tagore Universit
5137,Radford Universit
5138,Radford University Colleg
5139,RAF International Universit
5140,Raffles Universit
5141,Rah-e-Saadat Universit
5142,Rahnaward Institute of Higher Educatio
5143,Rai Technology Universit
5144,Raiganj Universit
5145,Rajabhat Maha Sarakham Universit
5146,Rajamangala University of Technology Isar
5147,Rajamangala University of Technology Lann
5148,Rajamangala University of Technology Phra Nakho
5149,Rajamangala University of Technology Rattanakosi
5150,Rajamangala University of Technology Srivijay
5151,Rajamangala University of Technology Suvarnabhum
5152,Rajamangala University of Technology Tawan-o
5153,Rajamangala University of Technology Thanyabur
5154,Rajapruk Universit
5155,Rajarata University of Sri Lank
5156,Rajasthan Technical University Kot
5157,Rajiv Gandhi National Aviation Universit
5158,Rajiv Gandhi National University of La
5159,Rajiv Gandhi Proudyogiki Vishwavidyalay
5160,Rajiv Gandhi University of Health Science
5161,Rajiv Gandhi University of Science and Technolog
5162,Rajshahi Medical Universit
5163,Rajshahi Universit
5164,Rajshahi University of Engineering and Technolog
5165,Rakuno Gakuen Universit
5166,Rama Devi Women's Universit
5167,Ramakrishna Mission Vivekananda Educational and Research Institut
5168,Randolph Colleg
5169,Randolph-Macon Colleg
5170,Rangamati Science and Technology Universit
5171,"Rani Channamma University, Belagav"
5172,Rani Durgavati Vishwavidyalay
5173,Rani Lakshmi Bai Central Agricultural Universit
5174,Ras al-Khaimah Medical and Health Sciences Universit
5175,Ras Bihari Bose Subharti Universit
5176,Rashtriya Sanskrit Vidyapeeth
5177,Ratchathani Universit
5178,Rattana Bundit Universit
5179,Ravenshaw Universit
5180,Rawalpindi Medical Universit
5181,Rayalaseema Universit
5182,Razi Universit
5183,Recep Tayyip Erdogan Üniversites
5184,Red Sea Universit
5185,Redeemer University Colleg
5186,Reed Colleg
5187,Regent Universit
5188,Regent University College of Science and Technolog
5189,Regent's University Londo
5190,Regional Maritime Universit
5191,Regis Colleg
5192,Regis Universit
5193,Reinhardt Universit
5194,Reitaku Universit
5195,Relay Graduate School of Educatio
5196,Renmin University of Chin
5197,Rennes School of Busines
5198,Rensselaer Polytechnic Institut
5199,Republic Central College
5200,Resurrection Universit
5201,Rheinische Fachhochschule Köl
5202,Rheinische Friedrich-Wilhelms-Universität Bon
5203,Rheinisch-Westfälische Technische Hochschule Aache
5204,Rhema Universit
5205,Rhode Island Colleg
5206,Rhodes Colleg
5207,Rhodes Universit
5208,Riara Universit
5209,"Richmond, The American International University in Londo"
5210,Richmont Graduate Universit
5211,Rift Valley Universit
5212,Rigas Ekonomikas augstskol
5213,Rigas Starptautiska ekonomikas un biznesa administracijas augstskol
5214,Rigas Tehniska universitat
5215,Rijksuniversiteit Groninge
5216,Rikkyo Universit
5217,Ringling College of Art and Desig
5218,Ripon Colleg
5219,Rissho Universit
5220,Ritman Universit
5221,Ritsumeikan Universit
5222,Rivers State Universit
5223,Riverton Universit
5224,Rivier Universit
5225,Rivne State Humanitarian Universit
5226,Rizal Technological Universit
5227,RMIT Universit
5228,Roanoke Colleg
5229,Robert Gordon Universit
5230,Robert Morris Universit
5231,Robert Schumann Hochschule Düsseldor
5232,Roberts Wesleyan Colleg
5233,Rochester Institute of Technolog
5234,"Rochester Institute of Technology, Duba"
5235,Rochester Universit
5236,Rockhurst Universit
5237,Rockview Universit
5238,Rocky Mountain Colleg
5239,Rocky Mountain College of Art and Desig
5240,Rocky Mountain University of Health Profession
5241,Rocky Vista Universit
5242,Röda Korsets högskol
5243,Roger Williams Universit
5244,Rogers State Universit
5245,Rollins Colleg
5246,Romblon State Universit
5247,Roosevelt Universit
5248,Rose-Hulman Institute of Technolog
5249,Roseman University of Health Science
5250,Roskilde Universite
5251,Ross University School of Medicin
5252,Rostov State University of Economic
5253,Royal Academy of Cambodi
5254,"Royal Academy of Music, University of Londo"
5255,Royal Agricultural Universit
5256,Royal College of Ar
5257,Royal College of Musi
5258,Royal College of Surgeons in Irelan
5259,Royal College of Surgeons in Ireland - Medical University of Bahrai
5260,Royal Conservatoire of Scotlan
5261,Royal Irish Academy of Musi
5262,Royal Military College of Canad
5263,Royal Roads Universit
5264,Royal University of Dhak
5265,Royan Institute of Higher Educatio
5266,Ruaha Catholic Universit
5267,Rudny Industrial Institut
5268,Ruhr-Universität Bochu
5269,Rumbek Universit
5270,Ruprecht-Karls-Universität Heidelber
5271,Rusangu Universit
5272,Rush Universit
5273,Rusizi International Universit
5274,Russian National Research Medical Universit
5275,Russian Presidential Academy of National Economy and Public Administratio
5276,Russian State Geological Prospecting Universit
5277,Russian State Institute of Performing Art
5278,Russian State University of Oil and Ga
5279,Russian State University of Tourism and Service
5280,Russian-Armenian Universit
5281,Russian-Tajik Slavonic Universit
5282,Rust Colleg
5283,Rustaq College of Educatio
5284,Ryazan State Agrotechnological Universit
5285,Ryazan State Medical Universit
5286,Ryazan State Radio Engineering Universit
5287,Ryazan State Universit
5288,Ryerson Universit
5289,Ryotokuji Universit
5290,Ryukoku Universit
5291,Ryutsu Keizai Universit
5292,Saba Universit
5293,Sabanci Üniversites
5294,Sabaragamuwa University of Sri Lank
5295,Saber Institute of Higher Educatio
5296,Sabratha Universit
5297,Sabzevar University of New Technologie
5298,Sacred Heart Universit
5299,Sadat Institute of Higher Educatio
5300,Sadjad University of Technolog
5301,Saga Universit
5302,Sagaing Universit
5303,Sagaing University of Educatio
5304,Sagami Women's Universit
5305,Saginaw Valley State Universit
5306,Sahand University of Technolog
5307,Sai Tirupati Universit
5308,Saigon International Universit
5309,Saigon Universit
5310,Saint Anselm Colleg
5311,Saint Anthony College of Nursin
5312,Saint Augustine Colleg
5313,Saint Augustine's Universit
5314,Saint Francis Universit
5315,Saint James School of Medicin
5316,Saint Joseph Institute of Technolog
5317,Saint Joseph's College of Main
5318,Saint Joseph's Universit
5319,Saint Leo Universit
5320,Saint Louis Universit
5321,"Saint Louis University, Baguio Cit"
5322,Saint Martin's Universit
5323,Saint Mary-of-the-Woods Colleg
5324,Saint Mary's Colleg
5325,Saint Mary's College of Californi
5326,Saint Mary's Universit
5327,Saint Mary's University of Minnesot
5328,Saint Michael's Colleg
5329,Saint Michael's College of Lagun
5330,Saint Pedro Poveda Colleg
5331,Saint Petersburg State Institute of Technolog
5332,Saint Petersburg State Pediatric Medical Academ
5333,Saint Tikhon's Orthodox Universit
5334,Saint Vincent Colleg
5335,Saint Xavier Universit
5336,Saint-Petersburg State Chemical Pharmaceutical Universit
5337,Saint-Petersburg State Institute of Film and Televisio
5338,Saitama Gakuen Universit
5339,Saitama Institute of Technolog
5340,Saitama Medical Schoo
5341,Saitama Prefectural Universit
5342,Sakarya Üniversites
5343,Sakushin Gakuin Universit
5344,Salahaddin University-Erbi
5345,Salam Universit
5346,Salem Colleg
5347,Salem State Universit
5348,Salem Universit
5349,Salisbury Universit
5350,Salman Farsi University of Kazeru
5351,Salus Universit
5352,Salve Regina Universit
5353,Salymbekov Universit
5354,Sam Houston State Universit
5355,Samara Academy of Humanitie
5356,Samara State Economic Universit
5357,Samara State Medical Universit
5358,Samarkand Davlat Universitet
5359,Samarqand Davlat Arxitektura-Qurilish Institut
5360,Samarqand Davlat Chet Tillar Institut
5361,Samarqand Davlat Tibbiyot Institut
5362,Samarqand Iqtisodiyot va Servis Institut
5363,Samarqand Qishloq xo'jalik Institut
5364,Samford Universit
5365,Sami Shamoon College of Engineerin
5366,Samuel Merritt Universit
5367,San Beda Universit
5368,San Diego State Universit
5369,San Francisco Art Institut
5370,San Francisco Conservatory of Musi
5371,San Francisco State Universit
5372,San Joaquin College of La
5373,San José State Universit
5374,Sana'a Universit
5375,Sanchi University of Buddhist-Indic Studie
5376,Sanda Universit
5377,Sandip Universit
5378,"Sandip University, Sijou"
5379,Sangai International Universit
5380,Saniku Gakuin Colleg
5381,Sanjay Ghodawat Universit
5382,Sanming Universit
5383,Sanno Universit
5384,SanQuan Medical Colleg
5385,Sant Baba Bhag Singh Universit
5386,Sant Gadge Baba Amravati Universit
5387,Sant Longowal Institute of Engineering and Technolog
5388,Santa Clara Universit
5389,Santa Isabel Colleg
5390,Santosh Universit
5391,Sanya Universit
5392,Sanyo Gakuen Universit
5393,Sapienza Università di Rom
5394,Sapporo City Universit
5395,Sapporo Gakuin Universit
5396,Sapporo International Universit
5397,Sapporo Medical Universit
5398,Sapporo Otani Universit
5399,Sapporo Universit
5400,Sarah Lawrence Colleg
5401,Sarajevo School of Science and Technolog
5402,Sarala Birla Universit
5403,Saratov State Academy of La
5404,Sardar Bahadur Khan Women's Universit
5405,Sardar Vallabhbhai Patel University of Agriculture and Technolog
5406,Sarhad University of Science and Information Technolog
5407,Sari Agricultural Sciences and Natural Resources Universit
5408,Satakunnan ammattikorkeakoul
5409,Satbayev Universit
5410,Sathyabama Institute of Science and Technolog
5411,Savannah State Universit
5412,Saveetha Institute of Medical and Technical Science
5413,Savitribai Phule Pune Universit
5414,Savonia-ammattikorkeakoul
5415,Saybrook Universit
5416,Sayyed Jamaleddin Asadabadi Universit
5417,School of the Art Institute of Chicag
5418,Scoala Nationala de Studii Politice si Administrativ
5419,Scotland's Rural Colleg
5420,Scott Christian Universit
5421,Scripps Colleg
5422,Scuola IMT Alti Studi Lucc
5423,Scuola Superiore di Studi Universitari e Perfezionamento Sant'Ann
5424,Scuola universitaria professionale della Svizzera italian
5425,Seattle Pacific Universit
5426,Sefako Makgatho Health Sciences Universit
5427,Seian University of Art and Desig
5428,Seigakuin Universit
5429,Seijo Universit
5430,Seijoh Universit
5431,Seikei Universit
5432,Seinäjoen ammattikorkeakoul
5433,Seinan Gakuin Universit
5434,Seinan Jo Gakuin Universit
